Representive Gene model,Sorghum homologs ID,Gene ID.1,Gene ID.2,Gene ID.3,Gene ID.4
Sspon.02G0023490,,Sspon.02G0023490-1A,,,
Sspon.02G0023500,Sobic.002G052400,Sspon.02G0023500-1A,Sspon.02G0023500-2B,Sspon.02G0023500-3C,Sspon.02G0023500-4D
Sspon.02G0023510,Sobic.002G052100,Sspon.02G0023510-1A,Sspon.02G0023510-2B,,Sspon.02G0023510-3D
Sspon.02G0023520,Sobic.002G052000,Sspon.02G0023520-1A,Sspon.02G0023520-2B,Sspon.02G0023520-3C,Sspon.02G0023520-4D|Sspon.02G0023520-1P|Sspon.02G0023520-2P|Sspon.02G0023520-3P
Sspon.02G0023530,Sobic.002G051900,Sspon.02G0023530-1A,Sspon.02G0023530-2B,,Sspon.02G0023530-3D
Sspon.02G0023540,Sobic.002G051450,Sspon.02G0023540-1A,Sspon.02G0023540-2B,Sspon.02G0023540-3C,Sspon.02G0023540-4D
Sspon.02G0023550,Sobic.002G051100,Sspon.02G0023550-1A,Sspon.02G0023550-2B,,Sspon.02G0023550-3D
Sspon.02G0023560,Sobic.002G051000,Sspon.02G0023560-1A,Sspon.02G0023560-2B,,Sspon.02G0023560-3D
Sspon.02G0023570,Sobic.002G050900,Sspon.02G0023570-1A,,,Sspon.02G0023570-2D
Sspon.02G0023580,,Sspon.02G0023580-1A,,,
Sspon.02G0023590,Sobic.002G050700,Sspon.02G0023590-1A,Sspon.02G0023590-2B,Sspon.02G0023590-3C,Sspon.02G0023590-4D
Sspon.02G0023600,,Sspon.02G0023600-1A,,,
Sspon.02G0023610,Sobic.002G050600,Sspon.02G0023610-1A,,Sspon.02G0023610-2C,Sspon.02G0023610-3D
Sspon.02G0023620,,Sspon.02G0023620-1A,,,
Sspon.02G0023630,,Sspon.02G0023630-1A,Sspon.02G0023630-2B,,
Sspon.02G0023640,Sobic.002G050500,Sspon.02G0023640-1A,Sspon.02G0023640-2B,Sspon.02G0023640-3C,Sspon.02G0023640-4D
Sspon.02G0023650,Sobic.002G050300,Sspon.02G0023650-1A,Sspon.02G0023650-2B|Sspon.02G0023650-1T,Sspon.02G0023650-3C,Sspon.02G0023650-4D
Sspon.02G0023660,Sobic.002G050200,Sspon.02G0023660-1A,Sspon.02G0023660-2B,Sspon.02G0023660-3C,Sspon.02G0023660-4D|Sspon.02G0023660-1T
Sspon.02G0023670,Sobic.002G050100,Sspon.02G0023670-1A|Sspon.02G0023670-1P|Sspon.02G0023670-1T,Sspon.02G0023670-2B,Sspon.02G0023670-3C,Sspon.02G0023670-4D
Sspon.02G0023680,Sobic.002G048700,Sspon.02G0023680-1A,,,Sspon.02G0023680-2D
Sspon.02G0023690,Sobic.002G049200,Sspon.02G0023690-1A,Sspon.02G0023690-2B,Sspon.02G0023690-3C,Sspon.02G0023690-4D
Sspon.02G0023700,Sobic.002G049000,Sspon.02G0023700-1A,Sspon.02G0023700-2B,Sspon.02G0023700-3C,Sspon.02G0023700-4D
Sspon.02G0023710,Sobic.002G048800,Sspon.02G0023710-1A,Sspon.02G0023710-2B,Sspon.02G0023710-3C|Sspon.02G0023710-1P,Sspon.02G0023710-4D
Sspon.02G0023720,Sobic.002G047700,Sspon.02G0023720-1A,Sspon.02G0023720-2B|Sspon.02G0023720-1P,Sspon.02G0023720-3C,Sspon.02G0023720-4D
Sspon.02G0023730,Sobic.002G046700,Sspon.02G0023730-1A,,,Sspon.02G0023730-2D
Sspon.02G0023740,Sobic.002G046800,Sspon.02G0023740-1A|Sspon.02G0023740-1T,,,Sspon.02G0023740-2D
Sspon.02G0023750,Sobic.002G046900,Sspon.02G0023750-1A|Sspon.02G0023750-1P,Sspon.02G0023750-2B,,Sspon.02G0023750-3D|Sspon.02G0023750-2P
Sspon.02G0023760,Sobic.002G047000,Sspon.02G0023760-1A,Sspon.02G0023760-2B,,Sspon.02G0023760-3D|Sspon.02G0023760-1P
Sspon.02G0023770,Sobic.002G047400,Sspon.02G0023770-1A,,Sspon.02G0023770-2C,Sspon.02G0023770-3D
Sspon.02G0023780,Sobic.002G047500,Sspon.02G0023780-1A,Sspon.02G0023780-2B,Sspon.02G0023780-3C,
Sspon.02G0023790,Sobic.002G047600,Sspon.02G0023790-1A,Sspon.02G0023790-2B,Sspon.02G0023790-3C,Sspon.02G0023790-4D
Sspon.02G0023800,Sobic.002G046000,Sspon.02G0023800-1A,Sspon.02G0023800-2B,Sspon.02G0023800-3C,Sspon.02G0023800-4D
Sspon.02G0023810,Sobic.002G045600,Sspon.02G0023810-1A,,Sspon.02G0023810-2C,Sspon.02G0023810-3D
Sspon.02G0023820,Sobic.002G046400,Sspon.02G0023820-1A,,Sspon.02G0023820-2C,
Sspon.02G0023830,Sobic.002G046500,Sspon.02G0023830-1A,,Sspon.02G0023830-2C,Sspon.02G0023830-3D
Sspon.02G0023840,Sobic.002G046700,Sspon.02G0023840-1A,Sspon.02G0023840-2B,,
Sspon.02G0023850,Sobic.002G046800,Sspon.02G0023850-1A,,Sspon.02G0023850-2C,
Sspon.02G0023860,Sobic.002G038300,Sspon.02G0023860-1A,Sspon.02G0023860-2B,Sspon.02G0023860-3C,Sspon.02G0023860-4D
Sspon.02G0023870,Sobic.002G038600,Sspon.02G0023870-1A,Sspon.02G0023870-2B,,
Sspon.02G0023880,,Sspon.02G0023880-1A,,,
Sspon.02G0023890,,Sspon.02G0023890-1A,,,Sspon.02G0023890-2D
Sspon.02G0023900,Sobic.002G039600,Sspon.02G0023900-1A,,Sspon.02G0023900-2C,Sspon.02G0023900-3D
Sspon.02G0023910,,Sspon.02G0023910-1A,,,
Sspon.02G0023920,Sobic.002G039500,Sspon.02G0023920-1A,,Sspon.02G0023920-2C,
Sspon.02G0023930,Sobic.002G039400,Sspon.02G0023930-1A,,Sspon.02G0023930-2C,Sspon.02G0023930-3D
Sspon.02G0023940,Sobic.002G039200,Sspon.02G0023940-1A,Sspon.02G0023940-2B,Sspon.02G0023940-3C,Sspon.02G0023940-4D
Sspon.02G0023950,Sobic.002G039000,Sspon.02G0023950-1A,Sspon.02G0023950-2B,Sspon.02G0023950-3C,Sspon.02G0023950-4D
Sspon.02G0023960,,Sspon.02G0023960-1A,,,
Sspon.02G0023970,Sobic.002G037800,Sspon.02G0023970-1A,Sspon.02G0023970-2B|Sspon.02G0023970-1T,Sspon.02G0023970-3C,Sspon.02G0023970-4D
Sspon.02G0023980,Sobic.002G037700,Sspon.02G0023980-1A,Sspon.02G0023980-2B,,Sspon.02G0023980-3D
Sspon.02G0023990,Sobic.002G036100,Sspon.02G0023990-1A,Sspon.02G0023990-2B,Sspon.02G0023990-3C,
Sspon.02G0024000,Sobic.002G036100,Sspon.02G0024000-1A,Sspon.02G0024000-2B,,
Sspon.02G0024010,Sobic.002G035900,Sspon.02G0024010-1A,Sspon.02G0024010-2B,Sspon.02G0024010-3C,
Sspon.02G0024020,Sobic.002G035800,Sspon.02G0024020-1A,Sspon.02G0024020-2B,Sspon.02G0024020-3C,
Sspon.02G0024030,,Sspon.02G0024030-1A,Sspon.02G0024030-2B,,
Sspon.02G0024040,Sobic.001G065800,Sspon.02G0024040-1A,,,Sspon.02G0024040-2D
Sspon.02G0024050,Sobic.002G035700,Sspon.02G0024050-1A,Sspon.02G0024050-2B,Sspon.02G0024050-3C|Sspon.02G0024050-1P,Sspon.02G0024050-4D
Sspon.02G0024060,Sobic.004G241600,Sspon.02G0024060-1A,Sspon.02G0024060-2B,,Sspon.02G0024060-3D
Sspon.02G0024070,Sobic.002G035500,Sspon.02G0024070-1A,,,Sspon.02G0024070-2D
Sspon.02G0024080,Sobic.002G035600,Sspon.02G0024080-1A|Sspon.02G0024080-1P,Sspon.02G0024080-2B,,Sspon.02G0024080-3D
Sspon.02G0024090,Sobic.002G035200,Sspon.02G0024090-1A,Sspon.02G0024090-2B,Sspon.02G0024090-3C,Sspon.02G0024090-4D
Sspon.02G0024100,Sobic.002G035000,Sspon.02G0024100-1A,Sspon.02G0024100-2B,Sspon.02G0024100-3C,Sspon.02G0024100-4D
Sspon.02G0024110,Sobic.002G033500,Sspon.02G0024110-1A,Sspon.02G0024110-2B,,
Sspon.02G0024120,Sobic.002G033600,Sspon.02G0024120-1A,Sspon.02G0024120-2B,Sspon.02G0024120-3C,
Sspon.02G0024130,Sobic.003G442700,Sspon.02G0024130-1A,Sspon.02G0024130-2B,Sspon.02G0024130-3C,
Sspon.02G0024140,Sobic.002G033700,Sspon.02G0024140-1A,Sspon.02G0024140-2B,Sspon.02G0024140-3C,
Sspon.02G0024150,Sobic.002G033700,Sspon.02G0024150-1A,,,Sspon.02G0024150-2D
Sspon.02G0024160,Sobic.002G033800,Sspon.02G0024160-1A,Sspon.02G0024160-2B,Sspon.02G0024160-3C,
Sspon.02G0024170,Sobic.002G033900,Sspon.02G0024170-1A,Sspon.02G0024170-2B,Sspon.02G0024170-3C,Sspon.02G0024170-4D
Sspon.02G0024180,Sobic.002G034301,Sspon.02G0024180-1A,Sspon.02G0024180-2B,Sspon.02G0024180-3C,
Sspon.02G0024190,Sobic.002G034400,Sspon.02G0024190-1A,Sspon.02G0024190-2B,,
Sspon.02G0024200,Sobic.002G034500,Sspon.02G0024200-1A,Sspon.02G0024200-2B,Sspon.02G0024200-3C,Sspon.02G0024200-4D
Sspon.02G0024210,Sobic.002G034600,Sspon.02G0024210-1A,Sspon.02G0024210-2B,Sspon.02G0024210-3C,
Sspon.02G0024220,,Sspon.02G0024220-1A,,,
Sspon.02G0024230,,Sspon.02G0024230-1A,,,
Sspon.02G0024240,Sobic.002G034700,Sspon.02G0024240-1A|Sspon.02G0024240-1P,Sspon.02G0024240-2B,Sspon.02G0024240-3C,
Sspon.02G0024250,Sobic.002G032033,Sspon.02G0024250-1A,Sspon.02G0024250-2B,,
Sspon.02G0024260,Sobic.010G007100,Sspon.02G0024260-1A,Sspon.02G0024260-2B,,
Sspon.02G0024270,Sobic.002G031800,Sspon.02G0024270-1A,,Sspon.02G0024270-2C|Sspon.02G0024270-1P,
Sspon.02G0024280,Sobic.002G031000,Sspon.02G0024280-1A,,Sspon.02G0024280-2C,Sspon.02G0024280-3D
Sspon.02G0024290,Sobic.002G030900,Sspon.02G0024290-1A,Sspon.02G0024290-2B,Sspon.02G0024290-3C,Sspon.02G0024290-4D
Sspon.02G0024300,Sobic.002G030650,Sspon.02G0024300-1A,Sspon.02G0024300-2B|Sspon.02G0024300-1P,Sspon.02G0024300-3C,
Sspon.02G0024310,Sobic.002G030500,Sspon.02G0024310-1A,Sspon.02G0024310-2B,Sspon.02G0024310-3C|Sspon.02G0024310-1P,
Sspon.02G0024320,,Sspon.02G0024320-1A,,,
Sspon.02G0024330,Sobic.002G049700,Sspon.02G0024330-1A,Sspon.02G0024330-2B,Sspon.02G0024330-3C,
Sspon.02G0024340,,Sspon.02G0024340-1A,,,
Sspon.02G0024350,Sobic.002G049500,Sspon.02G0024350-1A,,,Sspon.02G0024350-2D
Sspon.02G0024360,,Sspon.02G0024360-1A,,,
Sspon.02G0024370,Sobic.002G044100,Sspon.02G0024370-1A|Sspon.02G0024370-1T,Sspon.02G0024370-2B|Sspon.02G0024370-2T,Sspon.02G0024370-3C,Sspon.02G0024370-4D
Sspon.02G0024380,,Sspon.02G0024380-1A,,,
Sspon.02G0024390,Sobic.002G044800,Sspon.02G0024390-1A|Sspon.02G0024390-1P,Sspon.02G0024390-2B,,Sspon.02G0024390-3D
Sspon.02G0024400,Sobic.002G042200,Sspon.02G0024400-1A,,,Sspon.02G0024400-2D
Sspon.02G0024410,,Sspon.02G0024410-1A,,,
Sspon.02G0024420,Sobic.002G042100,Sspon.02G0024420-1A,Sspon.02G0024420-2B,,Sspon.02G0024420-3D|Sspon.02G0024420-1P
Sspon.02G0024430,,Sspon.02G0024430-1A,,,
Sspon.02G0024440,Sobic.002G041666,Sspon.02G0024440-1A,Sspon.02G0024440-2B,,Sspon.02G0024440-3D
Sspon.02G0024450,Sobic.001G498700,Sspon.02G0024450-1A|Sspon.02G0024450-1P,,Sspon.02G0024450-2C,
Sspon.02G0024460,,Sspon.02G0024460-1A,,,
Sspon.02G0024470,Sobic.002G029300,Sspon.02G0024470-1A|Sspon.02G0024470-1T,Sspon.02G0024470-2B,Sspon.02G0024470-3C,
Sspon.02G0024480,Sobic.002G030100,Sspon.02G0024480-1A,,Sspon.02G0024480-2C,
Sspon.02G0024490,Sobic.001G487600,Sspon.02G0024490-1A,,,Sspon.02G0024490-2D
Sspon.02G0024500,Sobic.002G028201,Sspon.02G0024500-1A,Sspon.02G0024500-2B|Sspon.02G0024500-1P,,
Sspon.02G0024510,Sobic.002G027901,Sspon.02G0024510-1A,Sspon.02G0024510-2B,,Sspon.02G0024510-3D
Sspon.02G0024520,Sobic.002G027800,Sspon.02G0024520-1A,Sspon.02G0024520-2B,Sspon.02G0024520-3C,
Sspon.02G0024530,Sobic.002G027700,Sspon.02G0024530-1A,Sspon.02G0024530-2B,Sspon.02G0024530-3C,Sspon.02G0024530-4D
Sspon.02G0024540,Sobic.002G027500,Sspon.02G0024540-1A,Sspon.02G0024540-2B,Sspon.02G0024540-3C,Sspon.02G0024540-4D
Sspon.02G0024550,Sobic.002G027300,Sspon.02G0024550-1A|Sspon.02G0024550-1T,,,Sspon.02G0024550-2D|Sspon.02G0024550-2T
Sspon.02G0024560,Sobic.002G026600,Sspon.02G0024560-1A,,,Sspon.02G0024560-2D
Sspon.02G0024570,Sobic.002G026500,Sspon.02G0024570-1A,Sspon.02G0024570-2B,,Sspon.02G0024570-3D
Sspon.02G0024580,Sobic.001G074400,Sspon.02G0024580-1A,Sspon.02G0024580-2B,Sspon.02G0024580-3C,Sspon.02G0024580-4D|Sspon.02G0024580-1P
Sspon.02G0024590,Sobic.002G026100,Sspon.02G0024590-1A,,,
Sspon.02G0024600,Sobic.002G025900,Sspon.02G0024600-1A,,,Sspon.02G0024600-2D
Sspon.02G0024610,,Sspon.02G0024610-1A,Sspon.02G0024610-2B,,
Sspon.02G0024620,,Sspon.02G0024620-1A,,,
Sspon.02G0024630,,Sspon.02G0024630-1A,,,
Sspon.02G0024640,Sobic.002G025100,Sspon.02G0024640-1A,,Sspon.02G0024640-2C,
Sspon.02G0024650,Sobic.002G024200,Sspon.02G0024650-1A,Sspon.02G0024650-2B,,Sspon.02G0024650-3D
Sspon.02G0024660,,Sspon.02G0024660-1A,,,
Sspon.02G0024670,Sobic.002G024100,Sspon.02G0024670-1A,Sspon.02G0024670-2B,,
Sspon.02G0024680,,Sspon.02G0024680-1A,,,
Sspon.02G0024690,Sobic.002G023300,Sspon.02G0024690-1A,Sspon.02G0024690-2B,Sspon.02G0024690-3C,
Sspon.02G0024700,,Sspon.02G0024700-1A,,Sspon.02G0024700-2C|Sspon.02G0024700-1P,
Sspon.02G0024710,Sobic.002G023100,Sspon.02G0024710-1A,Sspon.02G0024710-2B,Sspon.02G0024710-3C,Sspon.02G0024710-4D
Sspon.02G0024720,Sobic.002G023000,Sspon.02G0024720-1A,Sspon.02G0024720-2B,Sspon.02G0024720-3C|Sspon.02G0024720-1P,
Sspon.02G0024730,,Sspon.02G0024730-1A,,Sspon.02G0024730-2C,
Sspon.02G0024740,Sobic.002G022900,Sspon.02G0024740-1A,,,Sspon.02G0024740-2D
Sspon.02G0024750,,Sspon.02G0024750-1A,,,
Sspon.02G0024760,Sobic.002G022200,Sspon.02G0024760-1A|Sspon.02G0024760-1T,Sspon.02G0024760-2B|Sspon.02G0024760-2T,Sspon.02G0024760-3C,
Sspon.02G0024770,,Sspon.02G0024770-1A,,,
Sspon.02G0024780,,Sspon.02G0024780-1A,,,
Sspon.02G0024790,,Sspon.02G0024790-1A,,Sspon.02G0024790-2C,
Sspon.02G0024800,,Sspon.02G0024800-1A,,,
Sspon.02G0024810,,Sspon.02G0024810-1A,,,
Sspon.02G0024820,Sobic.002G021700,Sspon.02G0024820-1A|Sspon.02G0024820-1P,Sspon.02G0024820-2B,,
Sspon.02G0024830,,Sspon.02G0024830-1A,Sspon.02G0024830-2B,Sspon.02G0024830-3C,
Sspon.02G0024840,Sobic.002G021500,Sspon.02G0024840-1A,,Sspon.02G0024840-2C,Sspon.02G0024840-3D
Sspon.02G0024850,Sobic.002G021200,Sspon.02G0024850-1A,Sspon.02G0024850-2B,Sspon.02G0024850-3C,Sspon.02G0024850-4D
Sspon.02G0024860,Sobic.002G020600,Sspon.02G0024860-1A,Sspon.02G0024860-2B,Sspon.02G0024860-3C,Sspon.02G0024860-4D
Sspon.02G0024870,,Sspon.02G0024870-1A,,,
Sspon.02G0024880,Sobic.002G020500,Sspon.02G0024880-1A,Sspon.02G0024880-2B,Sspon.02G0024880-3C,Sspon.02G0024880-4D
Sspon.02G0024890,Sobic.002G020400,Sspon.02G0024890-1A,,Sspon.02G0024890-2C,Sspon.02G0024890-3D
Sspon.02G0024900,,Sspon.02G0024900-1A,,,
Sspon.02G0024910,Sobic.002G020200,Sspon.02G0024910-1A,Sspon.02G0024910-2B,Sspon.02G0024910-3C,
Sspon.02G0024920,,Sspon.02G0024920-1A,,,
Sspon.02G0024930,,Sspon.02G0024930-1A,,,
Sspon.02G0024940,,Sspon.02G0024940-1A,,,
Sspon.02G0024950,Sobic.002G020100,Sspon.02G0024950-1A,Sspon.02G0024950-2B,,Sspon.02G0024950-3D
Sspon.02G0024960,Sobic.002G020000,Sspon.02G0024960-1A,,,Sspon.02G0024960-2D|Sspon.02G0024960-1T
Sspon.02G0024970,Sobic.002G019750,Sspon.02G0024970-1A,,,Sspon.02G0024970-2D
Sspon.02G0024980,Sobic.002G019500,Sspon.02G0024980-1A,Sspon.02G0024980-2B,,
Sspon.02G0024990,,Sspon.02G0024990-1A,,,Sspon.02G0024990-2D
Sspon.02G0025000,,Sspon.02G0025000-1A,,,
Sspon.02G0025010,,Sspon.02G0025010-1A,,,
Sspon.02G0025020,,Sspon.02G0025020-1A,,,
Sspon.02G0025030,,Sspon.02G0025030-1A,,,
Sspon.02G0025040,,Sspon.02G0025040-1A,,,
Sspon.02G0025050,,Sspon.02G0025050-1A,,,
Sspon.02G0025060,,Sspon.02G0025060-1A,,Sspon.02G0025060-2C,
Sspon.02G0025070,,Sspon.02G0025070-1A,,,
Sspon.02G0025080,Sobic.002G017900,Sspon.02G0025080-1A,Sspon.02G0025080-2B,Sspon.02G0025080-3C|Sspon.02G0025080-1P,Sspon.02G0025080-4D
Sspon.02G0025090,,Sspon.02G0025090-1A,,,Sspon.02G0025090-2D
Sspon.02G0025100,Sobic.002G018400,Sspon.02G0025100-1A|Sspon.02G0025100-1P,,,
Sspon.02G0025110,,Sspon.02G0025110-1A,,,Sspon.02G0025110-2D
Sspon.02G0025120,Sobic.002G017600,Sspon.02G0025120-1A,,Sspon.02G0025120-2C,
Sspon.02G0025130,,Sspon.02G0025130-1A,,Sspon.02G0025130-2C,
Sspon.02G0025140,,Sspon.02G0025140-1A,,,
Sspon.02G0025150,Sobic.002G096400,Sspon.02G0025150-1A|Sspon.02G0025150-1P,,,Sspon.02G0025150-2D
Sspon.02G0025160,,Sspon.02G0025160-1A,,,
Sspon.02G0025170,,Sspon.02G0025170-1A,,,
Sspon.02G0025180,,Sspon.02G0025180-1A,,,Sspon.02G0025180-2D
Sspon.02G0025190,,Sspon.02G0025190-1A,,,
Sspon.02G0025200,Sobic.002G114800,Sspon.02G0025200-1A,,Sspon.02G0025200-2C|Sspon.02G0025200-1P,Sspon.02G0025200-3D
Sspon.02G0025210,Sobic.002G114700,Sspon.02G0025210-1A|Sspon.02G0025210-1T,,Sspon.02G0025210-2C,
Sspon.02G0025220,Sobic.009G216800,Sspon.02G0025220-1A,,Sspon.02G0025220-2C,
Sspon.02G0025230,Sobic.002G015400,Sspon.02G0025230-1A,Sspon.02G0025230-2B|Sspon.02G0025230-1P,Sspon.02G0025230-3C|Sspon.02G0025230-2P,Sspon.02G0025230-4D
Sspon.02G0025240,Sobic.002G015600,Sspon.02G0025240-1A,Sspon.02G0025240-2B,Sspon.02G0025240-3C,Sspon.02G0025240-4D
Sspon.02G0025250,,Sspon.02G0025250-1A,,Sspon.02G0025250-2C,
Sspon.02G0025260,Sobic.002G015700,Sspon.02G0025260-1A|Sspon.02G0025260-1P,,Sspon.02G0025260-2C,
Sspon.02G0025270,,Sspon.02G0025270-1A,,,
Sspon.02G0025280,Sobic.002G015800,Sspon.02G0025280-1A|Sspon.02G0025280-1P,,Sspon.02G0025280-2C,
Sspon.02G0025290,,Sspon.02G0025290-1A,Sspon.02G0025290-2B,,
Sspon.02G0025300,Sobic.002G016600,Sspon.02G0025300-1A,Sspon.02G0025300-2B,,
Sspon.02G0025310,Sobic.002G016400,Sspon.02G0025310-1A|Sspon.02G0025310-1P|Sspon.02G0025310-1T,Sspon.02G0025310-2B,Sspon.02G0025310-3C,
Sspon.02G0025320,Sobic.002G016500,Sspon.02G0025320-1A,,,Sspon.02G0025320-2D|Sspon.02G0025320-1T
Sspon.02G0025330,Sobic.002G016300,Sspon.02G0025330-1A|Sspon.02G0025330-1P,,Sspon.02G0025330-2C,
Sspon.02G0025340,,Sspon.02G0025340-1A,,,
Sspon.02G0025350,Sobic.002G016700,Sspon.02G0025350-1A,,,
Sspon.02G0025360,Sobic.002G016900,Sspon.02G0025360-1A,,Sspon.02G0025360-2C,
Sspon.02G0025370,,Sspon.02G0025370-1A,Sspon.02G0025370-2B,Sspon.02G0025370-3C,
Sspon.02G0025380,Sobic.002G014900,Sspon.02G0025380-1A,,,Sspon.02G0025380-2D
Sspon.02G0025390,Sobic.002G014800,Sspon.02G0025390-1A,Sspon.02G0025390-2B,,Sspon.02G0025390-3D
Sspon.02G0025400,Sobic.002G014600,Sspon.02G0025400-1A,Sspon.02G0025400-2B,Sspon.02G0025400-3C,
Sspon.02G0025410,,Sspon.02G0025410-1A,,,
Sspon.02G0025420,,Sspon.02G0025420-1A,,,
Sspon.02G0025430,Sobic.004G293600,Sspon.02G0025430-1A,,Sspon.02G0025430-2C,
Sspon.02G0025440,Sobic.002G015100,Sspon.02G0025440-1A,,,
Sspon.02G0025450,Sobic.002G015000,Sspon.02G0025450-1A,,Sspon.02G0025450-2C,
Sspon.02G0025460,Sobic.002G014700,Sspon.02G0025460-1A,,Sspon.02G0025460-2C,
Sspon.02G0025470,,Sspon.02G0025470-1A,Sspon.02G0025470-2B,,
Sspon.02G0025480,,Sspon.02G0025480-1A,,,Sspon.02G0025480-2D
Sspon.02G0025490,Sobic.002G009401,Sspon.02G0025490-1A|Sspon.02G0025490-1P,Sspon.02G0025490-2B,Sspon.02G0025490-3C|Sspon.02G0025490-2P|Sspon.02G0025490-3P,
Sspon.02G0025500,,Sspon.02G0025500-1A|Sspon.02G0025500-1P,,,Sspon.02G0025500-2D|Sspon.02G0025500-2P
Sspon.02G0025510,,Sspon.02G0025510-1A,Sspon.02G0025510-2B,,
Sspon.02G0025520,Sobic.002G014400,Sspon.02G0025520-1A,Sspon.02G0025520-2B,Sspon.02G0025520-3C,Sspon.02G0025520-4D
Sspon.02G0025530,Sobic.002G013800,Sspon.02G0025530-1A,Sspon.02G0025530-2B,Sspon.02G0025530-3C,Sspon.02G0025530-4D
Sspon.02G0025540,Sobic.002G013700,Sspon.02G0025540-1A,Sspon.02G0025540-2B,Sspon.02G0025540-3C,Sspon.02G0025540-4D
Sspon.02G0025550,Sobic.002G013300,Sspon.02G0025550-1A,Sspon.02G0025550-2B,Sspon.02G0025550-3C,Sspon.02G0025550-4D|Sspon.02G0025550-1P
Sspon.02G0025560,Sobic.002G013400,Sspon.02G0025560-1A,,Sspon.02G0025560-2C,
Sspon.02G0025570,Sobic.002G013200,Sspon.02G0025570-1A,Sspon.02G0025570-2B,,
Sspon.02G0025580,Sobic.002G012800,Sspon.02G0025580-1A,Sspon.02G0025580-2B|Sspon.02G0025580-1T,Sspon.02G0025580-3C,Sspon.02G0025580-4D
Sspon.02G0025590,,Sspon.02G0025590-1A,,,
Sspon.02G0025600,Sobic.002G012500,Sspon.02G0025600-1A|Sspon.02G0025600-1P,,,
Sspon.02G0025610,,Sspon.02G0025610-1A,,,
Sspon.02G0025620,Sobic.002G012300,Sspon.02G0025620-1A,Sspon.02G0025620-2B,Sspon.02G0025620-3C,Sspon.02G0025620-4D|Sspon.02G0025620-1T
Sspon.02G0025630,Sobic.002G013000,Sspon.02G0025630-1A,,,Sspon.02G0025630-2D
Sspon.02G0025640,Sobic.002G012800,Sspon.02G0025640-1A,Sspon.02G0025640-2B|Sspon.02G0025640-1P|Sspon.02G0025640-2P,,
Sspon.02G0025650,Sobic.002G010100,Sspon.02G0025650-1A,,Sspon.02G0025650-2C,
Sspon.02G0025660,,Sspon.02G0025660-1A,,,
Sspon.02G0025670,,Sspon.02G0025670-1A,,,
Sspon.02G0025680,,Sspon.02G0025680-1A,,,
Sspon.02G0025690,Sobic.002G010700,Sspon.02G0025690-1A|Sspon.02G0025690-1P,Sspon.02G0025690-2B|Sspon.02G0025690-2P,Sspon.02G0025690-3C|Sspon.02G0025690-3P,Sspon.02G0025690-4D|Sspon.02G0025690-4P|Sspon.02G0025690-5P
Sspon.02G0025700,Sobic.002G010600,Sspon.02G0025700-1A,Sspon.02G0025700-2B|Sspon.02G0025700-1P|Sspon.02G0025700-2P,Sspon.02G0025700-3C|Sspon.02G0025700-3P,
Sspon.02G0025710,Sobic.002G010400,Sspon.02G0025710-1A,Sspon.02G0025710-2B,,Sspon.02G0025710-3D
Sspon.02G0025720,Sobic.002G010300,Sspon.02G0025720-1A,Sspon.02G0025720-2B,,Sspon.02G0025720-3D
Sspon.02G0025730,Sobic.002G010200,Sspon.02G0025730-1A,,,
Sspon.02G0025740,Sobic.002G010200,Sspon.02G0025740-1A,,Sspon.02G0025740-2C,
Sspon.02G0025750,Sobic.002G010900,Sspon.02G0025750-1A,Sspon.02G0025750-2B,Sspon.02G0025750-3C|Sspon.02G0025750-1P,
Sspon.02G0025760,Sobic.002G011000,Sspon.02G0025760-1A,,Sspon.02G0025760-2C,
Sspon.02G0025770,Sobic.002G010000,Sspon.02G0025770-1A,Sspon.02G0025770-2B,Sspon.02G0025770-3C,
Sspon.02G0025780,Sobic.002G009900,Sspon.02G0025780-1A,Sspon.02G0025780-2B,Sspon.02G0025780-3C,
Sspon.02G0025790,,Sspon.02G0025790-1A,,,
Sspon.02G0025800,,Sspon.02G0025800-1A,,,
Sspon.02G0025810,,Sspon.02G0025810-1A,,,
Sspon.02G0025820,,Sspon.02G0025820-1A,,,
Sspon.02G0025830,Sobic.002G009800,Sspon.02G0025830-1A,Sspon.02G0025830-2B,Sspon.02G0025830-3C|Sspon.02G0025830-1P,Sspon.02G0025830-4D
Sspon.02G0025840,Sobic.002G009600,Sspon.02G0025840-1A|Sspon.02G0025840-1T,Sspon.02G0025840-2B,Sspon.02G0025840-3C,
Sspon.02G0025850,Sobic.002G009401,Sspon.02G0025850-1A,Sspon.02G0025850-2B,,
Sspon.02G0025860,Sobic.002G009300,Sspon.02G0025860-1A,Sspon.02G0025860-2B,Sspon.02G0025860-3C,
Sspon.02G0025870,Sobic.002G009200,Sspon.02G0025870-1A,,Sspon.02G0025870-2C,
Sspon.02G0025880,Sobic.002G008900,Sspon.02G0025880-1A,Sspon.02G0025880-2B,Sspon.02G0025880-3C,
Sspon.02G0025890,,Sspon.02G0025890-1A,Sspon.02G0025890-2B,,
Sspon.02G0025900,Sobic.002G008200,Sspon.02G0025900-1A,Sspon.02G0025900-2B,Sspon.02G0025900-3C,Sspon.02G0025900-4D
Sspon.02G0025910,,Sspon.02G0025910-1A,,,
Sspon.02G0025920,,Sspon.02G0025920-1A,,,
Sspon.02G0025930,Sobic.002G008200,Sspon.02G0025930-1A|Sspon.02G0025930-1T,Sspon.02G0025930-2B,,
